Age group by 5,Category,Color,Customer ID,Discount Applied,Frequency of Purchases,Gender,Item Purchased,Location,Payment Method,Promo Code Used,Season,Shipping Type,Size,Subscription Status,Age,Almont Money,Customers by Season,Money by Accessories,Money by Clothing,Money by Footwear,Money by Outerwear,Previous Purchases,Purchase Amount (USD),Review Rating
15-20,Clothing,Silver,26,Yes,Annually,Male,Hoodie,Texas,PayPal,Yes,Summer,Express,M,Yes,18,,,,,,,14,25,3.6
35-40,Accessories,Red,27,Yes,Annually,Male,Jewelry,Nevada,Credit Card,Yes,Spring,Next Day Air,M,Yes,38,,,,,,,13,20,3.6
55-60,Clothing,Cyan,28,Yes,Every 3 Months,Male,Shorts,Kentucky,Bank Transfer,Yes,Summer,Next Day Air,L,Yes,56,,,,,,,7,56,5
50-55,Accessories,Gray,29,Yes,Every 3 Months,Male,Handbag,North Carolina,PayPal,Yes,Fall,Free Shipping,M,Yes,54,94,29,94,,,,41,94,4.4
30-35,Clothing,Black,30,Yes,Weekly,Male,Dress,Wyoming,Credit Card,Yes,Fall,Store Pickup,S,Yes,31,48,30,,48,,,14,48,4.1
55-60,Accessories,Black,31,Yes,Monthly,Male,Jewelry,North Carolina,Credit Card,Yes,Winter,Standard,L,Yes,57,,,,,,,16,31,4.7
30-35,Clothing,Brown,32,Yes,Monthly,Male,Dress,West Virginia,Venmo,Yes,Winter,Store Pickup,L,Yes,33,,,,,,,45,79,4.7
35-40,Outerwear,Silver,33,Yes,Annually,Male,Jacket,Kansas,Venmo,Yes,Summer,Free Shipping,M,Yes,36,,,,,,,37,67,4.9
50-55,Clothing,Green,34,Yes,Quarterly,Male,Pants,Colorado,Cash,Yes,Summer,Store Pickup,L,Yes,54,,,,,,,45,38,3.3
35-40,Clothing,Violet,35,Yes,Quarterly,Male,T-shirt,North Dakota,PayPal,Yes,Spring,2-Day Shipping,L,Yes,36,,,,,,,38,91,4.6
50-55,Clothing,Cyan,36,Yes,Bi-Weekly,Male,Blouse,Massachusetts,Credit Card,Yes,Summer,2-Day Shipping,M,Yes,54,,,,,,,48,33,4
35-40,Clothing,Maroon,37,Yes,Fortnightly,Male,T-shirt,Illinois,PayPal,Yes,Winter,Free Shipping,M,Yes,35,,,,,,,44,69,4.6
35-40,Clothing,Cyan,38,Yes,Weekly,Male,Jeans,Indiana,PayPal,Yes,Summer,Store Pickup,S,Yes,35,,,,,,,10,45,2.8
25-30,Clothing,Red,39,Yes,Every 3 Months,Male,Dress,Florida,Venmo,Yes,Winter,2-Day Shipping,M,Yes,29,,,,,,,44,37,3.7
70-75,Clothing,Turquoise,40,Yes,Monthly,Male,Pants,Arizona,Credit Card,Yes,Summer,Express,S,Yes,70,,,,,,,18,60,4.2
65-70,Accessories,Beige,41,Yes,Quarterly,Male,Handbag,Louisiana,Debit Card,Yes,Winter,Next Day Air,L,Yes,69,,,,,,,31,76,4.6
65-70,Accessories,Orange,42,Yes,Annually,Male,Scarf,Alaska,Venmo,Yes,Spring,Standard,M,Yes,67,,,,,,,40,39,4.5
20-25,Outerwear,Beige,43,Yes,Annually,Male,Coat,Tennessee,PayPal,Yes,Spring,Free Shipping,M,Yes,20,,,,,,,15,100,4.1
25-30,Accessories,Lavender,44,Yes,Fortnightly,Male,Scarf,Ohio,PayPal,Yes,Fall,Store Pickup,L,Yes,25,69,44,69,,,,19,69,3.7
35-40,Accessories,Silver,45,Yes,Weekly,Male,Hat,Kentucky,PayPal,Yes,Summer,Free Shipping,S,Yes,39,,,,,,,45,53,4.6
50-55,Clothing,Indigo,46,Yes,Annually,Male,Socks,Tennessee,PayPal,Yes,Fall,2-Day Shipping,XL,Yes,50,21,46,,21,,,25,21,2.9
55-60,Clothing,White,47,Yes,Quarterly,Male,Shirt,California,Cash,Yes,Summer,Store Pickup,L,Yes,57,,,,,,,45,43,2.9
55-60,Accessories,Charcoal,48,Yes,Weekly,Male,Jewelry,Montana,Cash,Yes,Winter,Free Shipping,M,Yes,55,,,,,,,36,54,4.5
40-45,Clothing,Orange,49,Yes,Monthly,Male,Shirt,Nevada,Cash,Yes,Summer,Store Pickup,M,Yes,42,,,,,,,38,55,2.7
65-70,Clothing,Indigo,50,Yes,Bi-Weekly,Male,Hoodie,New Jersey,Debit Card,Yes,Spring,Next Day Air,S,Yes,68,,,,,,,34,30,4.6
45-50,Clothing,Red,51,Yes,Bi-Weekly,Male,Blouse,Maryland,Debit Card,Yes,Spring,Store Pickup,M,Yes,49,,,,,,,39,28,3.7
55-60,Clothing,Gray,52,Yes,Quarterly,Male,Skirt,Vermont,Credit Card,Yes,Winter,2-Day Shipping,XL,Yes,59,,,,,,,7,59,4.7
40-45,Clothing,Green,53,Yes,Weekly,Male,T-shirt,Alaska,Credit Card,Yes,Summer,Free Shipping,M,Yes,42,,,,,,,26,20,2.6
25-30,Clothing,Peach,54,Yes,Weekly,Male,Skirt,Mississippi,Credit Card,Yes,Winter,Next Day Air,S,Yes,29,,,,,,,35,24,3.9
45-50,Outerwear,Brown,55,Yes,Bi-Weekly,Male,Coat,New Mexico,Debit Card,Yes,Summer,Next Day Air,M,Yes,47,,,,,,,35,94,4.2
40-45,Outerwear,Lavender,56,Yes,Annually,Male,Jacket,South Carolina,Credit Card,Yes,Winter,2-Day Shipping,M,Yes,40,,,,,,,49,28,3
40-45,Accessories,Brown,57,Yes,Weekly,Male,Backpack,Mississippi,Credit Card,Yes,Summer,Store Pickup,XL,Yes,41,,,,,,,46,73,4.7
20-25,Outerwear,White,58,Yes,Fortnightly,Male,Coat,West Virginia,Debit Card,Yes,Summer,Store Pickup,M,Yes,21,,,,,,,17,64,4.4
65-70,Clothing,Charcoal,59,Yes,Monthly,Male,Hoodie,Missouri,Venmo,Yes,Summer,Free Shipping,M,Yes,69,,,,,,,29,54,4.2
60-65,Accessories,Yellow,60,Yes,Weekly,Male,Belt,Louisiana,Debit Card,Yes,Spring,Standard,L,Yes,63,,,,,,,4,79,4.6
50-55,Clothing,Brown,61,Yes,Weekly,Male,Sweater,Idaho,Cash,Yes,Summer,Express,L,Yes,50,,,,,,,17,37,4
55-60,Accessories,Orange,62,Yes,Every 3 Months,Male,Scarf,Texas,Credit Card,Yes,Winter,Store Pickup,M,Yes,55,,,,,,,21,68,4.7
30-35,Footwear,Magenta,63,Yes,Fortnightly,Male,Sneakers,Mississippi,Credit Card,Yes,Spring,Free Shipping,S,Yes,30,,,,,,,31,21,3.8
30-35,Accessories,Lavender,64,Yes,Weekly,Male,Sunglasses,Arizona,Credit Card,Yes,Winter,2-Day Shipping,L,Yes,33,,,,,,,43,79,2.7
65-70,Footwear,Green,65,Yes,Fortnightly,Male,Boots,Alabama,Debit Card,Yes,Fall,Standard,S,Yes,65,83,65,,,83,,18,83,4.8
65-70,Accessories,Purple,66,Yes,Every 3 Months,Male,Backpack,New Jersey,Venmo,Yes,Spring,2-Day Shipping,M,Yes,65,,,,,,,44,36,4.8
30-35,Clothing,Magenta,67,Yes,Every 3 Months,Male,Blouse,Pennsylvania,Venmo,Yes,Winter,2-Day Shipping,S,Yes,31,,,,,,,3,94,4.7
45-50,Outerwear,Gray,68,Yes,Monthly,Male,Coat,Connecticut,Debit Card,Yes,Winter,Store Pickup,L,Yes,45,,,,,,,49,33,4.4
55-60,Accessories,Silver,69,Yes,Every 3 Months,Male,Handbag,Utah,Cash,Yes,Summer,Next Day Air,L,Yes,57,,,,,,,21,46,3.9
45-50,Accessories,Cyan,70,Yes,Weekly,Male,Belt,Tennessee,Cash,Yes,Summer,Express,S,Yes,48,,,,,,,5,70,4.4
20-25,Accessories,Magenta,71,Yes,Every 3 Months,Male,Belt,Alabama,Debit Card,Yes,Fall,Express,M,Yes,22,29,71,29,,,,32,29,4.2
35-40,Clothing,Gold,72,Yes,Annually,Male,Dress,Virginia,Bank Transfer,Yes,Summer,Express,L,Yes,36,,,,,,,34,48,2.9
15-20,Clothing,Olive,73,Yes,Every 3 Months,Male,Dress,Georgia,Bank Transfer,Yes,Winter,Store Pickup,M,Yes,18,,,,,,,21,26,2.9
45-50,Clothing,Teal,74,Yes,Bi-Weekly,Male,Pants,Hawaii,Bank Transfer,Yes,Spring,Free Shipping,M,Yes,48,,,,,,,43,85,2.7
45-50,Accessories,Violet,75,Yes,Monthly,Male,Gloves,Indiana,Cash,Yes,Spring,Express,L,Yes,49,,,,,,,3,58,4.5
60-65,Accessories,Blue,76,Yes,Annually,Male,Scarf,Utah,Credit Card,Yes,Summer,Free Shipping,M,Yes,64,,,,,,,21,85,2.7
50-55,Accessories,Teal,77,Yes,Monthly,Male,Hat,Delaware,Venmo,Yes,Summer,Free Shipping,S,Yes,50,,,,,,,32,43,4.2
20-25,Clothing,Gold,78,Yes,Fortnightly,Male,Dress,Delaware,Debit Card,Yes,Summer,Next Day Air,L,Yes,22,,,,,,,36,53,3.3
50-55,Clothing,Maroon,79,Yes,Fortnightly,Male,Skirt,Nebraska,Venmo,Yes,Spring,Free Shipping,M,Yes,50,,,,,,,50,91,4.7
35-40,Outerwear,Olive,80,Yes,Every 3 Months,Male,Jacket,Iowa,Bank Transfer,Yes,Winter,2-Day Shipping,M,Yes,38,,,,,,,43,96,2.6
15-20,Footwear,Blue,81,Yes,Every 3 Months,Male,Sandals,New York,Credit Card,Yes,Summer,Store Pickup,XL,Yes,19,,,,,,,24,72,3.3
65-70,Footwear,Maroon,82,Yes,Every 3 Months,Male,Shoes,Virginia,Credit Card,Yes,Summer,Express,L,Yes,67,,,,,,,36,96,2.6
15-20,Clothing,Olive,83,Yes,Every 3 Months,Male,Pants,Georgia,Credit Card,Yes,Spring,2-Day Shipping,S,Yes,19,,,,,,,21,28,4
35-40,Clothing,Turquoise,84,Yes,Weekly,Male,Dress,Texas,Bank Transfer,Yes,Summer,Standard,M,Yes,36,,,,,,,34,40,4.1
50-55,Outerwear,Peach,85,Yes,Every 3 Months,Male,Coat,Arizona,Bank Transfer,Yes,Spring,Standard,S,Yes,52,,,,,,,42,32,4.4
50-55,Accessories,Charcoal,86,Yes,Bi-Weekly,Male,Sunglasses,New Mexico,Debit Card,Yes,Winter,Next Day Air,M,Yes,53,,,,,,,2,95,4.5
20-25,Clothing,Pink,87,Yes,Bi-Weekly,Male,Hoodie,Nevada,Cash,Yes,Spring,2-Day Shipping,L,Yes,24,,,,,,,47,41,3.7
50-55,Footwear,Green,88,Yes,Fortnightly,Male,Shoes,Ohio,Debit Card,Yes,Fall,2-Day Shipping,M,Yes,52,53,88,,,53,,44,53,3.7
30-35,Clothing,Orange,89,Yes,Monthly,Male,T-shirt,Wyoming,Credit Card,Yes,Fall,Free Shipping,M,Yes,33,47,89,,47,,,35,47,3.5
45-50,Outerwear,Pink,90,Yes,Quarterly,Male,Jacket,California,Cash,Yes,Fall,Next Day Air,XL,Yes,47,83,90,,,,83,15,83,3.6
25-30,Accessories,Violet,91,Yes,Monthly,Male,Hat,South Carolina,Credit Card,Yes,Summer,Express,L,Yes,25,,,,,,,29,48,2.9
40-45,Accessories,Green,92,Yes,Every 3 Months,Male,Scarf,South Carolina,Credit Card,Yes,Winter,Standard,S,Yes,44,,,,,,,18,99,4.6
60-65,Outerwear,Olive,93,Yes,Every 3 Months,Male,Jacket,Texas,Venmo,Yes,Winter,2-Day Shipping,M,Yes,61,,,,,,,13,87,4.4
35-40,Clothing,Purple,94,Yes,Weekly,Male,Sweater,Florida,Credit Card,Yes,Fall,Standard,M,Yes,37,62,94,,62,,,46,62,4.5
55-60,Clothing,Silver,95,Yes,Weekly,Male,Skirt,Nevada,Credit Card,Yes,Spring,Free Shipping,S,Yes,58,,,,,,,28,76,4.6
35-40,Footwear,Pink,96,Yes,Monthly,Male,Sneakers,Missouri,PayPal,Yes,Fall,Free Shipping,L,Yes,37,100,96,,,100,,48,100,3.8
30-35,Accessories,Gold,97,Yes,Every 3 Months,Male,Gloves,Delaware,Venmo,Yes,Spring,Express,S,Yes,32,,,,,,,43,73,3.6
20-25,Footwear,Teal,98,Yes,Annually,Male,Shoes,Virginia,Cash,Yes,Winter,Store Pickup,M,Yes,21,,,,,,,37,92,4.8
20-25,Clothing,Teal,99,Yes,Annually,Male,Jeans,New York,Bank Transfer,Yes,Spring,Next Day Air,XL,Yes,20,,,,,,,20,67,2.6
25-30,Clothing,Indigo,100,Yes,Quarterly,Male,Hoodie,Missouri,Debit Card,Yes,Summer,Express,XL,Yes,26,,,,,,,33,40,3.7
60-65,Accessories,Maroon,101,Yes,Fortnightly,Male,Sunglasses,South Dakota,Cash,Yes,Fall,Express,M,Yes,62,98,101,98,,,,31,98,2.7
25-30,Outerwear,White,102,Yes,Bi-Weekly,Male,Coat,North Dakota,Credit Card,Yes,Spring,Express,XL,Yes,27,,,,,,,50,85,4.6
50-55,Clothing,Violet,103,Yes,Quarterly,Male,Socks,Oklahoma,Credit Card,Yes,Winter,Next Day Air,L,Yes,51,,,,,,,35,67,4.8
50-55,Footwear,Red,104,Yes,Bi-Weekly,Male,Boots,West Virginia,Venmo,Yes,Winter,Next Day Air,L,Yes,54,,,,,,,22,89,4
55-60,Accessories,Pink,105,Yes,Monthly,Male,Sunglasses,New Hampshire,PayPal,Yes,Spring,2-Day Shipping,L,Yes,55,,,,,,,1,24,4.4
65-70,Accessories,Charcoal,106,Yes,Annually,Male,Backpack,New York,Bank Transfer,Yes,Fall,Next Day Air,M,Yes,69,96,106,96,,,,4,96,3.6
60-65,Outerwear,White,107,Yes,Monthly,Male,Jacket,Minnesota,Credit Card,Yes,Summer,Standard,L,Yes,64,,,,,,,31,35,3.7
25-30,Footwear,Olive,108,Yes,Fortnightly,Male,Sneakers,Maryland,PayPal,Yes,Winter,Next Day Air,L,Yes,28,,,,,,,46,67,3.1
70-75,Clothing,Purple,109,Yes,Bi-Weekly,Male,Socks,Montana,Bank Transfer,Yes,Spring,Next Day Air,L,Yes,70,,,,,,,32,79,3.4
55-60,Clothing,Violet,110,Yes,Fortnightly,Male,T-shirt,Alabama,Bank Transfer,Yes,Spring,Next Day Air,M,Yes,58,,,,,,,43,85,2.6
55-60,Accessories,Black,111,Yes,Fortnightly,Male,Backpack,New York,Venmo,Yes,Summer,Standard,M,Yes,56,,,,,,,26,26,4
25-30,Accessories,Purple,112,Yes,Annually,Male,Belt,Massachusetts,Credit Card,Yes,Summer,Free Shipping,L,Yes,26,,,,,,,9,75,5
35-40,Accessories,Red,113,Yes,Bi-Weekly,Male,Gloves,Florida,PayPal,Yes,Spring,Free Shipping,M,Yes,37,,,,,,,28,65,4.3
40-45,Accessories,Maroon,114,Yes,Quarterly,Male,Hat,New Jersey,PayPal,Yes,Winter,Next Day Air,L,Yes,44,,,,,,,20,54,3.1
70-75,Outerwear,Blue,115,Yes,Weekly,Male,Coat,Massachusetts,Cash,Yes,Summer,Store Pickup,S,Yes,70,,,,,,,9,95,3.7
50-55,Clothing,Gray,116,Yes,Every 3 Months,Male,Skirt,Wyoming,Debit Card,Yes,Spring,Standard,M,Yes,53,,,,,,,48,94,3.8
55-60,Footwear,Blue,117,Yes,Annually,Male,Shoes,Virginia,Venmo,Yes,Spring,Free Shipping,S,Yes,55,,,,,,,12,86,3.4
50-55,Footwear,Yellow,118,Yes,Fortnightly,Male,Sandals,South Dakota,Cash,Yes,Summer,Express,L,Yes,50,,,,,,,29,32,4.6
50-55,Clothing,Orange,119,Yes,Bi-Weekly,Male,Sweater,Kentucky,Cash,Yes,Fall,2-Day Shipping,L,Yes,50,45,119,,45,,,27,45,4.8
35-40,Outerwear,Orange,120,Yes,Annually,Male,Coat,Wyoming,Cash,Yes,Fall,Express,M,Yes,38,76,120,,,,76,44,76,4.3
60-65,Accessories,Red,121,Yes,Annually,Male,Hat,West Virginia,Bank Transfer,Yes,Summer,Express,L,Yes,64,,,,,,,32,84,4
15-20,Clothing,Olive,122,Yes,Fortnightly,Male,Shorts,Virginia,Cash,Yes,Winter,Standard,M,Yes,19,,,,,,,11,72,4.2
40-45,Accessories,Brown,123,Yes,Fortnightly,Male,Backpack,Washington,Cash,Yes,Spring,2-Day Shipping,L,Yes,40,,,,,,,44,40,4.8
55-60,Clothing,Brown,124,Yes,Weekly,Male,Sweater,Louisiana,Cash,Yes,Fall,Free Shipping,L,Yes,57,89,124,,89,,,46,89,3.1
40-45,Clothing,Gray,125,Yes,Annually,Male,Sweater,Nevada,PayPal,Yes,Spring,Next Day Air,M,Yes,44,,,,,,,50,86,3.1
45-50,Clothing,Indigo,126,Yes,Every 3 Months,Male,Shorts,California,Venmo,Yes,Winter,Next Day Air,M,Yes,49,,,,,,,45,54,3.6
40-45,Clothing,Pink,127,Yes,Every 3 Months,Male,Shorts,Mississippi,Cash,Yes,Spring,Store Pickup,L,Yes,43,,,,,,,48,36,3.9
20-25,Clothing,Gray,128,Yes,Weekly,Male,Sweater,Mississippi,Credit Card,Yes,Winter,Next Day Air,M,Yes,24,,,,,,,26,89,4.8
20-25,Accessories,Gold,129,Yes,Fortnightly,Male,Scarf,California,Credit Card,Yes,Spring,Standard,M,Yes,20,,,,,,,21,32,4.7
20-25,Clothing,Olive,130,Yes,Bi-Weekly,Male,Dress,Pennsylvania,PayPal,Yes,Summer,2-Day Shipping,XL,Yes,24,,,,,,,49,67,4.2
40-45,Accessories,Violet,131,Yes,Fortnightly,Male,Scarf,Kentucky,PayPal,Yes,Fall,Next Day Air,L,Yes,44,39,131,39,,,,13,39,3.7
25-30,Clothing,Indigo,132,Yes,Weekly,Male,Skirt,Maine,Credit Card,Yes,Summer,Standard,L,Yes,28,,,,,,,46,29,3.9
30-35,Accessories,Orange,133,Yes,Weekly,Male,Backpack,New Mexico,PayPal,Yes,Fall,2-Day Shipping,M,Yes,30,58,133,58,,,,42,58,4.7
50-55,Clothing,Violet,134,Yes,Annually,Male,Sweater,Montana,Venmo,Yes,Winter,Next Day Air,M,Yes,52,,,,,,,25,65,2.5
40-45,Accessories,Gray,135,Yes,Monthly,Male,Hat,Texas,Cash,Yes,Fall,Store Pickup,L,Yes,43,94,135,94,,,,25,94,4.9
40-45,Footwear,Purple,136,Yes,Quarterly,Male,Sandals,Kansas,PayPal,Yes,Fall,Express,M,Yes,43,81,136,,,81,,12,81,4.1
35-40,Clothing,White,137,Yes,Quarterly,Male,Blouse,South Carolina,Debit Card,Yes,Winter,Free Shipping,M,Yes,39,,,,,,,4,86,3.3
65-70,Footwear,Turquoise,138,Yes,Weekly,Male,Sneakers,Colorado,PayPal,Yes,Spring,Free Shipping,M,Yes,68,,,,,,,38,43,4.7
65-70,Clothing,Maroon,139,Yes,Weekly,Male,Skirt,Georgia,Bank Transfer,Yes,Winter,Store Pickup,M,Yes,68,,,,,,,42,29,4.4
45-50,Outerwear,White,140,Yes,Annually,Male,Coat,Florida,Venmo,Yes,Fall,Store Pickup,M,Yes,49,95,140,,,,95,30,95,3.8
60-65,Clothing,Yellow,141,Yes,Weekly,Male,Shirt,North Carolina,Credit Card,Yes,Fall,2-Day Shipping,L,Yes,63,28,141,,28,,,50,28,3.9
55-60,Accessories,Turquoise,142,Yes,Weekly,Male,Gloves,Virginia,PayPal,Yes,Fall,Free Shipping,M,Yes,56,46,142,46,,,,45,46,4.9
35-40,Outerwear,Violet,143,Yes,Fortnightly,Male,Jacket,Nebraska,Credit Card,Yes,Fall,Free Shipping,L,Yes,37,58,143,,,,58,33,58,3.1
30-35,Outerwear,Beige,144,Yes,Quarterly,Male,Coat,Missouri,PayPal,Yes,Fall,Store Pickup,M,Yes,30,48,144,,,,48,25,48,2.7
15-20,Footwear,Silver,145,Yes,Monthly,Male,Shoes,New Jersey,Cash,Yes,Fall,Express,M,Yes,19,43,145,,,43,,25,43,3.2
20-25,Accessories,Teal,146,Yes,Quarterly,Male,Jewelry,Missouri,Debit Card,Yes,Fall,Standard,M,Yes,24,95,146,95,,,,44,95,4.5
50-55,Clothing,Black,147,Yes,Fortnightly,Male,Skirt,Colorado,Venmo,Yes,Fall,Standard,S,Yes,52,30,147,,30,,,21,30,4
60-65,Footwear,Purple,148,Yes,Fortnightly,Male,Shoes,Idaho,Bank Transfer,Yes,Summer,2-Day Shipping,M,Yes,63,,,,,,,31,64,3.5
35-40,Accessories,Gray,149,Yes,Annually,Male,Gloves,Wyoming,Debit Card,Yes,Fall,Store Pickup,M,Yes,37,90,149,90,,,,47,90,2.6
35-40,Clothing,White,150,Yes,Monthly,Male,Pants,Delaware,PayPal,Yes,Summer,Free Shipping,M,Yes,38,,,,,,,14,76,3.2
35-40,Footwear,Cyan,151,Yes,Every 3 Months,Male,Boots,California,Debit Card,Yes,Fall,Standard,L,Yes,35,96,151,,,96,,17,96,4.9
25-30,Accessories,Turquoise,152,Yes,Annually,Male,Sunglasses,North Dakota,Venmo,Yes,Fall,Next Day Air,L,Yes,28,47,152,47,,,,3,47,4.5
30-35,Clothing,Brown,153,Yes,Annually,Male,Shirt,South Carolina,Venmo,Yes,Summer,Express,S,Yes,30,,,,,,,42,85,4.3
65-70,Clothing,Maroon,154,Yes,Annually,Male,Hoodie,North Carolina,Debit Card,Yes,Winter,Standard,M,Yes,69,,,,,,,22,55,3.2
40-45,Clothing,Charcoal,155,Yes,Quarterly,Male,Dress,Oklahoma,Venmo,Yes,Fall,Next Day Air,M,Yes,41,98,155,,98,,,21,98,3.6
60-65,Clothing,Olive,156,Yes,Quarterly,Male,Socks,Maine,Bank Transfer,Yes,Spring,Free Shipping,S,Yes,63,,,,,,,21,77,4.3
35-40,Clothing,Lavender,157,Yes,Annually,Male,Shorts,Missouri,Debit Card,Yes,Fall,Standard,M,Yes,35,26,157,,26,,,40,26,4
35-40,Accessories,Yellow,158,Yes,Fortnightly,Male,Hat,Vermont,Bank Transfer,Yes,Fall,Next Day Air,S,Yes,36,68,158,68,,,,1,68,3
25-30,Clothing,Teal,159,Yes,Monthly,Male,Shirt,Connecticut,Bank Transfer,Yes,Fall,Standard,XL,Yes,25,73,159,,73,,,50,73,4.1
55-60,Accessories,Charcoal,160,Yes,Every 3 Months,Male,Gloves,New Hampshire,Bank Transfer,Yes,Fall,Store Pickup,M,Yes,58,27,160,27,,,,39,27,3.8
25-30,Accessories,Orange,161,Yes,Monthly,Male,Gloves,Texas,Venmo,Yes,Summer,Free Shipping,M,Yes,27,,,,,,,34,23,4.6
65-70,Accessories,Olive,162,Yes,Fortnightly,Male,Backpack,North Dakota,Venmo,Yes,Fall,Express,M,Yes,65,49,162,49,,,,29,49,3
50-55,Accessories,Turquoise,163,Yes,Bi-Weekly,Male,Sunglasses,California,PayPal,Yes,Summer,Store Pickup,M,Yes,54,,,,,,,31,74,3
50-55,Clothing,Purple,164,Yes,Weekly,Male,Skirt,Virginia,Debit Card,Yes,Summer,Standard,M,Yes,54,,,,,,,8,67,3.4
55-60,Accessories,Purple,165,Yes,Fortnightly,Male,Handbag,Delaware,Credit Card,Yes,Spring,Free Shipping,S,Yes,59,,,,,,,5,65,2.6
40-45,Accessories,Yellow,166,Yes,Monthly,Male,Handbag,Kentucky,Cash,Yes,Winter,Store Pickup,S,Yes,42,,,,,,,7,60,2.8
45-50,Footwear,Indigo,167,Yes,Monthly,Male,Sneakers,Delaware,Cash,Yes,Fall,Store Pickup,XL,Yes,46,31,167,,,31,,30,31,4
30-35,Accessories,Green,168,Yes,Every 3 Months,Male,Gloves,Arkansas,Credit Card,Yes,Fall,Express,M,Yes,33,27,168,27,,,,14,27,4
30-35,Footwear,Magenta,169,Yes,Fortnightly,Male,Shoes,Louisiana,Cash,Yes,Summer,Express,M,Yes,34,,,,,,,5,80,3
